,recall,precision,coverage_f1,jensenshannon,ari,ami,quality_f1,v_measure
Oracle-test,0.79,0.80,0.80,0.16,1.00,1.00,1.00,1.00
sIB,0.39,0.52,0.44,0.33,0.05,0.24,0.07,0.37
KMeans,0.42,0.57,0.49,0.34,0.06,0.32,0.10,0.43
KPA,0.44,0.57,0.49,0.32,0.24,0.38,0.30,0.48
RBC,0.45,0.61,0.51,0.32,0.15,0.28,0.19,0.39
