,recall,precision,coverage_f1,jensenshannon,ari,ami,quality_f1,v_measure
Oracle-test,0.08,0.08,0.08,0.04,0.00,0.00,0.00,0.00
sIB,0.09,0.09,0.09,0.03,0.03,0.05,0.04,0.05
KMeans,0.07,0.08,0.06,0.03,0.03,0.06,0.05,0.05
KPA,0.08,0.09,0.07,0.03,0.05,0.05,0.04,0.05
RBC,0.11,0.11,0.11,0.04,0.04,0.05,0.04,0.04
